Origin,OriginState,Dest,DestState,CRSDepTime,CRSElapsedTime,Marketing_Airline_Network
LAX,CA,IAH,TX,2007,204.0,NK
ATL,GA,PHL,PA,1630,125.0,NK
BNA,TN,FLL,FL,600,137.0,NK
FLL,FL,BOS,MA,1936,195.0,NK
DFW,TX,LAX,CA,1508,189.0,NK
LAX,CA,ATL,GA,815,272.0,NK
ORD,IL,ATL,GA,650,127.0,NK
MCO,FL,PIT,PA,1335,141.0,NK
PIT,PA,MCO,FL,1700,144.0,NK
LAX,CA,LAS,NV,1905,81.0,NK
LAS,NV,LAX,CA,545,81.0,NK
PIT,PA,LAX,CA,1805,300.0,NK
LAX,CA,PIT,PA,2223,277.0,NK
FLL,FL,MSY,LA,810,120.0,NK
BWI,MD,DFW,TX,830,184.0,NK
DFW,TX,MSY,LA,1900,87.0,NK
MSY,LA,DFW,TX,1005,98.0,NK
MCO,FL,FLL,FL,2025,72.0,NK
FLL,FL,MCO,FL,2105,68.0,NK
MSY,LA,FLL,FL,630,117.0,NK
MCO,FL,LGA,NY,2020,155.0,NK
LGA,NY,MCO,FL,959,183.0,NK
MCO,FL,PHX,AZ,1854,265.0,NK
PHX,AZ,MCO,FL,2225,256.0,NK
SDF,KY,MCO,FL,755,120.0,NK
LAS,NV,EWR,NJ,1319,300.0,NK
EWR,NJ,LAS,NV,2210,326.0,NK
EWR,NJ,IAH,TX,2121,218.0,NK
DTW,MI,LAX,CA,1350,286.0,NK
LAX,CA,DTW,MI,2140,265.0,NK
FLL,FL,LGA,NY,800,182.0,NK
IAH,TX,EWR,NJ,720,220.0,NK
EWR,NJ,PIT,PA,740,86.0,NK
PIT,PA,EWR,NJ,1010,91.0,NK
EWR,NJ,IND,IN,1559,134.0,NK
IND,IN,EWR,NJ,2005,134.0,NK
DFW,TX,LGA,NY,701,212.0,NK
MCO,FL,PIT,PA,1600,142.0,NK
OAK,CA,EWR,NJ,2035,333.0,NK
EWR,NJ,OAK,CA,755,376.0,NK
LGA,NY,DTW,MI,2129,116.0,NK
IAH,TX,MIA,FL,1209,154.0,NK
MIA,FL,IAH,TX,1638,157.0,NK
FLL,FL,ATL,GA,715,115.0,NK
LAS,NV,SAN,CA,1200,76.0,NK
SAN,CA,OAK,CA,1415,89.0,NK
OAK,CA,SAN,CA,1640,89.0,NK
SAN,CA,LAS,NV,1905,82.0,NK
PHL,PA,MCO,FL,930,162.0,NK
ORD,IL,LAS,NV,2335,234.0,NK
ORD,IL,RSW,FL,1000,171.0,NK
RSW,FL,ORD,IL,1815,197.0,NK
ATL,GA,DTW,MI,600,117.0,NK
LGA,NY,CLT,NC,859,123.0,NK
SAN,CA,LAS,NV,1655,82.0,NK
SEA,WA,LAS,NV,1835,158.0,NK
IAH,TX,FLL,FL,550,160.0,NK
MCO,FL,IAH,TX,605,145.0,NK
ATL,GA,LAS,NV,2145,250.0,NK
LAS,NV,ATL,GA,800,252.0,NK
DFW,TX,DTW,MI,1015,161.0,NK
DFW,TX,TPA,FL,805,155.0,NK
TPA,FL,DFW,TX,1315,159.0,NK
LAX,CA,MCI,MO,1410,190.0,NK
IAH,TX,ORD,IL,2056,164.0,NK
RIC,VA,MCO,FL,1902,128.0,NK
LGA,NY,FLL,FL,1630,190.0,NK
CLT,NC,LGA,NY,1209,118.0,NK
IND,IN,MCO,FL,1405,145.0,NK
LBE,PA,MCO,FL,1820,141.0,NK
MCO,FL,PHL,PA,1820,156.0,NK
PHL,PA,MCO,FL,2136,165.0,NK
SNA,CA,LAS,NV,645,73.0,NK
LAS,NV,SNA,CA,1910,75.0,NK
PHL,PA,FLL,FL,1910,172.0,NK
MCO,FL,LBE,PA,1130,142.0,NK
LAS,NV,DTW,MI,2229,241.0,NK
DTW,MI,LAS,NV,1250,255.0,NK
LBE,PA,MYR,SC,1447,88.0,NK
LAX,CA,CMH,OH,1436,270.0,NK
CMH,OH,LAX,CA,2259,285.0,NK
LAX,CA,SDF,KY,820,251.0,NK
LAS,NV,DEN,CO,840,112.0,NK
MCI,MO,LAX,CA,2028,211.0,NK
LGA,NY,DFW,TX,1230,235.0,NK
MYR,SC,LGA,NY,718,108.0,NK
LAS,NV,SMF,CA,851,91.0,NK
MCO,FL,RIC,VA,902,125.0,NK
DTW,MI,LAX,CA,2203,287.0,NK
LAX,CA,DTW,MI,1735,264.0,NK
MSY,LA,LAX,CA,1600,245.0,NK
DTW,MI,IAH,TX,700,173.0,NK
IAH,TX,DTW,MI,1524,161.0,NK
IAH,TX,ATL,GA,943,127.0,NK
ATL,GA,IAH,TX,1030,130.0,NK
CLT,NC,FLL,FL,2230,125.0,NK
FLL,FL,CLT,NC,1930,124.0,NK
DTW,MI,DFW,TX,735,165.0,NK
JAX,FL,DCA,VA,1157,120.0,AA
CHO,VA,CLT,NC,505,87.0,AA
CLT,NC,MHT,NH,2059,137.0,AA
DCA,VA,MHT,NH,1504,113.0,AA
MHT,NH,DCA,VA,1727,108.0,AA
DCA,VA,JAN,MS,2007,160.0,AA
CAE,SC,DCA,VA,1104,96.0,AA
DCA,VA,CAE,SC,840,114.0,AA
BHM,AL,CLT,NC,535,96.0,AA
ORF,VA,DCA,VA,1306,67.0,AA
CLT,NC,MDT,PA,918,102.0,AA
MDT,PA,CLT,NC,1202,99.0,AA
GSP,SC,DCA,VA,737,112.0,AA
PHL,PA,DCA,VA,1753,66.0,AA
LEX,KY,CLT,NC,637,98.0,AA
CHS,SC,DFW,TX,1735,183.0,AA
DFW,TX,CHS,SC,1314,163.0,AA
ORF,VA,CLT,NC,635,88.0,AA
CLT,NC,DCA,VA,2220,99.0,AA
DCA,VA,GRR,MI,1145,105.0,AA
GRR,MI,DCA,VA,1406,106.0,AA
CLT,NC,MHT,NH,1429,136.0,AA
MHT,NH,CLT,NC,1716,144.0,AA
CLT,NC,GSP,SC,1104,54.0,AA
GSP,SC,CLT,NC,1250,65.0,AA
DCA,VA,CVG,KY,1346,99.0,AA
BNA,TN,CLT,NC,1908,87.0,AA
CLT,NC,BNA,TN,1806,92.0,AA
CLT,NC,GSP,SC,1442,52.0,AA
GSP,SC,CLT,NC,1611,65.0,AA
CLT,NC,GSO,NC,723,60.0,AA
GSO,NC,CLT,NC,905,53.0,AA
CLT,NC,MYR,SC,931,69.0,AA
MYR,SC,CLT,NC,1115,67.0,AA
SAV,GA,CLT,NC,800,87.0,AA
DCA,VA,DAY,OH,1154,97.0,AA
CLT,NC,TYS,TN,1626,68.0,AA
TYS,TN,CLT,NC,1805,73.0,AA
ABE,PA,CLT,NC,1157,110.0,AA
CLT,NC,ABE,PA,937,110.0,AA
DCA,VA,SYR,NY,959,81.0,AA
SYR,NY,DCA,VA,1150,85.0,AA
DCA,VA,BDL,CT,1010,96.0,AA
ATL,GA,CLT,NC,1221,85.0,AA
DFW,TX,BTR,LA,2235,89.0,AA
PHL,PA,JAX,FL,859,148.0,AA
GSO,NC,CLT,NC,530,53.0,AA
CLT,NC,DAB,FL,1835,99.0,AA
CLT,NC,FAY,NC,1105,58.0,AA
FAY,NC,CLT,NC,1238,67.0,AA
CAK,OH,DCA,VA,625,81.0,AA
DCA,VA,CLT,NC,654,94.0,AA
DCA,VA,ALB,NY,2220,85.0,AA
PHL,PA,TYS,TN,1854,121.0,AA
BHM,AL,CLT,NC,1110,95.0,AA
CLT,NC,BHM,AL,957,91.0,AA
DAB,FL,CLT,NC,641,103.0,AA
CLT,NC,ATL,GA,951,84.0,AA
CLT,NC,TYS,TN,930,71.0,AA
DCA,VA,MCI,MO,1013,179.0,AA
DFW,TX,TUL,OK,1450,75.0,AA
TUL,OK,DFW,TX,1637,82.0,AA
MCI,MO,DCA,VA,1242,153.0,AA
CLT,NC,GSP,SC,943,54.0,AA
MCI,MO,PHL,PA,604,166.0,AA
BTR,LA,DFW,TX,557,100.0,AA
DCA,VA,BTV,VT,1009,107.0,AA
DCA,VA,BNA,TN,733,116.0,AA
DFW,TX,LIT,AR,1526,82.0,AA
LIT,AR,DFW,TX,1718,88.0,AA
BNA,TN,DCA,VA,1627,108.0,AA
DCA,VA,BNA,TN,1454,112.0,AA
SAV,GA,CLT,NC,1446,83.0,AA
ORF,VA,PHL,PA,702,71.0,AA
GRR,MI,DCA,VA,600,106.0,AA
DCA,VA,GRR,MI,2208,109.0,AA
BNA,TN,DCA,VA,907,108.0,AA
DAY,OH,CLT,NC,845,97.0,AA
CLT,NC,SRQ,FL,738,120.0,AA
SRQ,FL,CLT,NC,1010,119.0,AA
CLT,NC,BHM,AL,1913,90.0,AA
PHL,PA,IND,IN,2002,119.0,AA
HPN,NY,CLT,NC,630,116.0,AA
CLT,NC,CHO,VA,1816,77.0,AA
ALB,NY,DCA,VA,520,89.0,AA
BTV,VT,DCA,VA,1237,101.0,AA
PHL,PA,MCI,MO,1841,177.0,AA
DFW,TX,PIA,IL,2044,124.0,AA
SYR,NY,PHL,PA,1600,68.0,AA
PIA,IL,DFW,TX,645,135.0,AA
HSV,AL,DCA,VA,611,121.0,AA
BTR,LA,DFW,TX,1050,99.0,AA
DFW,TX,BTR,LA,840,100.0,AA
DCA,VA,GSO,NC,2220,75.0,AA
ILM,NC,DFW,TX,705,202.0,AA
DCA,VA,GSP,SC,1454,102.0,AA
DFW,TX,ILM,NC,1855,177.0,AA
MYR,SC,DFW,TX,700,196.0,AA
DFW,TX,MYR,SC,1935,168.0,AA
CVG,KY,PHL,PA,806,104.0,AA
CHA,TN,DCA,VA,724,105.0,AA
PHL,PA,GSP,SC,1944,107.0,AA
PWM,ME,DCA,VA,1226,111.0,AA
DCA,VA,CHA,TN,1955,113.0,AA
CAE,SC,CLT,NC,530,61.0,AA
CLT,NC,GSP,SC,2054,55.0,AA
DFW,TX,PIA,IL,1245,135.0,AA
PIA,IL,DFW,TX,1530,135.0,AA
LEX,KY,CLT,NC,500,98.0,AA
DCA,VA,DAY,OH,1945,94.0,AA
CLT,NC,CVG,KY,2020,91.0,AA
DCA,VA,MHT,NH,2211,98.0,AA
CHO,VA,CLT,NC,1625,79.0,AA
BUF,NY,DCA,VA,1744,84.0,AA
DCA,VA,BUF,NY,1505,95.0,AA
DCA,VA,ROC,NY,2222,80.0,AA
BHM,AL,PHL,PA,620,134.0,AA
DCA,VA,DAY,OH,735,95.0,AA
DAY,OH,DCA,VA,943,88.0,AA
SAV,GA,DCA,VA,740,109.0,AA
BHM,AL,DCA,VA,1542,129.0,AA
DCA,VA,BHM,AL,1356,130.0,AA
TYS,TN,DCA,VA,608,101.0,AA
CLT,NC,HPN,NY,2039,122.0,AA
CRW,WV,DCA,VA,531,73.0,AA
CLT,NC,ILM,NC,935,73.0,AA
ILM,NC,CLT,NC,1118,72.0,AA
CAK,OH,CLT,NC,1810,101.0,AA
CLT,NC,CAK,OH,1603,97.0,AA
DFW,TX,DAY,OH,1850,150.0,AA
DAY,OH,DFW,TX,735,159.0,AA
PHL,PA,PIT,PA,1030,79.0,AA
MHT,NH,DCA,VA,1236,108.0,AA
MHT,NH,DCA,VA,512,108.0,AA
CLT,NC,PVD,RI,716,127.0,AA
PVD,RI,CLT,NC,956,133.0,AA
DTW,MI,PHL,PA,558,100.0,AA
PHL,PA,DTW,MI,2100,109.0,AA
CHS,SC,DCA,VA,1450,99.0,AA
DCA,VA,CHS,SC,1237,102.0,AA
DCA,VA,CHS,SC,2002,114.0,AA
CHS,SC,DCA,VA,604,106.0,AA
CLT,NC,CAE,SC,1840,59.0,AA
ALB,NY,DCA,VA,1947,92.0,AA
DCA,VA,ALB,NY,1733,85.0,AA
CLT,NC,RAP,SD,900,217.0,AA
RAP,SD,CLT,NC,1109,198.0,AA
CLT,NC,DAY,OH,2030,98.0,AA
CHA,TN,CLT,NC,1108,81.0,AA
CLT,NC,CHA,TN,912,82.0,AA
MEM,TN,PHL,PA,1123,146.0,AA
PHL,PA,MEM,TN,902,170.0,AA
CLT,NC,HPN,NY,1112,121.0,AA
HPN,NY,CLT,NC,1344,118.0,AA
CLT,NC,ROA,VA,929,68.0,AA
ROA,VA,CLT,NC,1109,67.0,AA
TYS,TN,CLT,NC,700,75.0,AA
DCA,VA,ILM,NC,825,92.0,AA
ILM,NC,DCA,VA,1031,87.0,AA
CLT,NC,CAK,OH,2025,98.0,AA
CLT,NC,PIA,IL,1437,123.0,AA
PIA,IL,CLT,NC,1610,118.0,AA
CLT,NC,SBN,IN,933,119.0,AA
SBN,IN,CLT,NC,1202,112.0,AA
DCA,VA,MGM,AL,1641,124.0,AA
IND,IN,PHL,PA,548,111.0,AA
PIA,IL,CLT,NC,732,118.0,AA
DCA,VA,CHS,SC,1528,117.0,AA
BHM,AL,CLT,NC,749,96.0,AA
OAJ,NC,CLT,NC,520,80.0,AA
TYS,TN,DCA,VA,1107,100.0,AA
CLT,NC,CAE,SC,2027,59.0,AA
DCA,VA,TYS,TN,842,115.0,AA
PVD,RI,DCA,VA,600,99.0,AA
ABE,PA,CLT,NC,600,111.0,AA
PHL,PA,MYR,SC,1045,103.0,AA
MYR,SC,PHL,PA,1259,100.0,AA
PHL,PA,SYR,NY,1415,71.0,AA
CLE,OH,DCA,VA,620,85.0,AA
CMH,OH,PHL,PA,1621,88.0,AA
PHL,PA,CMH,OH,1417,94.0,AA
CLT,NC,BTR,LA,1927,128.0,AA
PHL,PA,TYS,TN,1539,111.0,AA
TYS,TN,PHL,PA,1800,111.0,AA
PIT,PA,PHL,PA,1219,73.0,AA
DCA,VA,HSV,AL,2009,130.0,AA
CHS,SC,DCA,VA,1755,101.0,AA
CAE,SC,CLT,NC,654,60.0,AA
CLE,OH,PHL,PA,1101,84.0,AA
PHL,PA,CLE,OH,842,107.0,AA
DCA,VA,MSN,WI,830,156.0,AA
MSN,WI,DCA,VA,1036,126.0,AA
DFW,TX,DAY,OH,1032,158.0,AA
AGS,GA,DCA,VA,1917,98.0,AA
DCA,VA,AGS,GA,1700,99.0,AA
BTV,VT,PHL,PA,600,87.0,AA
DAY,OH,DFW,TX,1416,158.0,AA
DCA,VA,DSM,IA,1011,173.0,AA
DSM,IA,DCA,VA,1234,145.0,AA
DCA,VA,BNA,TN,2000,119.0,AA
PHL,PA,BTV,VT,2057,86.0,AA
CHA,TN,CLT,NC,655,81.0,AA
DCA,VA,HPN,NY,1703,81.0,AA
HPN,NY,DCA,VA,1858,78.0,AA
DCA,VA,GSO,NC,832,94.0,AA
GSO,NC,DCA,VA,1036,76.0,AA
CLT,NC,SBN,IN,2042,116.0,AA
DCA,VA,ORF,VA,1131,61.0,AA
DSM,IA,DCA,VA,601,145.0,AA
ALB,NY,DCA,VA,1725,92.0,AA
DCA,VA,ALB,NY,1508,101.0,AA
GSP,SC,DCA,VA,1714,101.0,AA
CLT,NC,CRW,WV,1625,74.0,AA
DCA,VA,HPN,NY,1331,81.0,AA
HPN,NY,DCA,VA,1525,78.0,AA
AVL,NC,CLT,NC,859,65.0,AA
CLT,NC,AVL,NC,725,64.0,AA
CLT,NC,CID,IA,1130,143.0,AA
CRW,WV,CLT,NC,1810,78.0,AA
MEM,TN,PHL,PA,610,146.0,AA
DCA,VA,DSM,IA,2140,156.0,AA
DAY,OH,DCA,VA,619,91.0,AA
CLT,NC,GRR,MI,900,122.0,AA
GRR,MI,CLT,NC,1145,120.0,AA
CLT,NC,CRW,WV,2010,75.0,AA
CRW,WV,CLT,NC,642,78.0,AA
ORF,VA,DCA,VA,556,63.0,AA
CVG,KY,DCA,VA,1256,96.0,AA
CID,IA,CLT,NC,1325,135.0,AA
BGR,ME,DCA,VA,1705,127.0,AA
DCA,VA,BGR,ME,1429,109.0,AA
CLT,NC,GPT,MS,1113,118.0,AA
GPT,MS,CLT,NC,1246,114.0,AA
BNA,TN,PHL,PA,1022,125.0,AA
PHL,PA,BNA,TN,825,142.0,AA
PHL,PA,MEM,TN,1849,159.0,AA
ATL,GA,CLT,NC,1813,85.0,AA
CLT,NC,ATL,GA,1621,82.0,AA
PHL,PA,BHM,AL,2101,139.0,AA
DCA,VA,HPN,NY,939,81.0,AA
HPN,NY,DCA,VA,1129,78.0,AA
DAY,OH,DCA,VA,1952,88.0,AA
DCA,VA,DAY,OH,1733,95.0,AA
DCA,VA,HPN,NY,2201,83.0,AA
CLT,NC,TYS,TN,2023,68.0,AA
CLT,NC,HSV,AL,1805,90.0,AA
DCA,VA,DTW,MI,838,122.0,AA
DTW,MI,DCA,VA,1116,97.0,AA
CLT,NC,SDF,KY,954,95.0,AA
SDF,KY,CLT,NC,1216,94.0,AA
DCA,VA,ILM,NC,1900,82.0,AA
BDL,CT,DCA,VA,1428,94.0,AA
DCA,VA,BDL,CT,1230,84.0,AA
DCA,VA,IND,IN,1454,114.0,AA
IND,IN,DCA,VA,1721,104.0,AA
BNA,TN,CLT,NC,1006,87.0,AA
